evaluations raw_y
13530 0.9637625289
evaluations raw_y
1 0.8871540099
3 1.4318442153
4 1.8142235123
23 1.9260400616
33 2.2935779817
93 2.8344671202
11090 2.9976019185
13530 0.8722958828
evaluations raw_y
1 1.1312217195
2 1.8796992481
640 1.9500780031
812 2.1367521368
1237 2.1968365554
1259 2.7839643653
1823 3.0562347188
2643 3.1172069825
3207 3.3156498674
3292 3.9936102236
3753 5.0200803213
5390 2.5562372188
evaluations raw_y
1 1.4318442153
9 1.4585764294
19 1.6425755585
41 1.8355359765
352 1.8796992481
645 2.2603978300
734 2.4752475248
787 2.5562372188
1248 2.6427061311
1265 2.9976019185
1850 3.0562347188
2449 3.4626038781
2505 3.5410764873
5390 2.1079258010
evaluations raw_y
1 1.3227513228
3 1.7730496454
631 1.7934002869
644 1.8355359765
691 1.8573551263
735 1.8796992481
743 2.0000000000
764 2.2935779817
1438 2.3277467412
1446 2.4366471735
1494 2.7839643653
1822 2.8344671202
1848 2.9411764706
1905 3.1172069825
2480 3.2467532468
2635 3.3156498674
3058 3.4626038781
3636 3.7091988131
5390 3.7091988131
evaluations raw_y
1 1.2487512488
3 1.6600265604
23 1.8573551263
410 1.9747235387
651 2.1968365554
730 2.2935779817
827 2.4366471735
1229 2.7839643653
1318 3.0562347188
1904 3.3156498674
2498 3.5410764873
3901 4.3252595156
4366 4.5787545788
5390 2.2935779817
evaluations raw_y
1 1.4723203769
22 1.9500780031
73 2.0798668885
458 2.2603978300
654 2.6427061311
1042 2.6881720430
1247 2.7839643653
1253 2.8868360277
1890 2.9411764706
1992 3.1172069825
2187 3.1806615776
2433 3.3875338753
3133 3.7091988131
3159 3.9936102236
5390 3.9936102236
evaluations raw_y
1 1.4318442153
7 1.5605493134
26 1.9260400616
181 2.2281639929
653 2.3629489603
898 2.3992322457
1818 2.4366471735
3888 2.5150905433
5340 2.6427061311
6441 0.8674531575
evaluations raw_y
1 1.2794268168
3 1.3691128149
7 1.5451174289
41 1.6960651289
58 1.7337031900
62 1.7730496454
88 1.9025875190
100 1.9260400616
174 1.9747235387
266 2.0525451560
392 2.0798668885
639 2.1367521368
961 2.3277467412
2453 2.3629489603
4359 2.4366471735
6441 1.1737089202
evaluations raw_y
1 0.8973438622
2 1.7337031900
43 1.7531556802
87 2.6427061311
6441 0.6909894970
evaluations raw_y
1 1.1478420569
4 1.4060742407
13 1.4450867052
16 2.0000000000
32 2.0259319287
113 2.1367521368
503 2.4366471735
4117 2.6427061311
5241 2.7352297593
6441 1.0917030568
evaluations raw_y
1 1.6254876463
7 1.6778523490
31 1.9747235387
371 2.0259319287
427 2.0525451560
472 2.2603978300
595 2.4752475248
1523 2.8868360277
5232 3.3156498674
6441 1.2100677638
evaluations raw_y
1 0.6534239415
2 1.3691128149
3 1.5923566879
15 2.2281639929
973 2.4366471735
1536 2.5987525988
1963 2.7352297593
2031 2.7839643653
2305 2.8344671202
2512 3.0562347188
2882 3.4626038781
5208 1.5923566879
evaluations raw_y
1 1.7934002869
44 2.0000000000
109 2.1968365554
144 2.5987525988
865 2.7352297593
1138 2.7839643653
1427 2.9411764706
2110 3.1806615776
2727 3.4626038781
2808 3.7091988131
3556 3.7993920973
5208 1.3340448239
evaluations raw_y
1 1.8142235123
33 2.2935779817
326 2.3277467412
376 2.4366471735
1112 2.7352297593
1479 3.0562347188
2124 3.2467532468
3466 3.7091988131
5208 1.1150758252
evaluations raw_y
1 1.4585764294
7 1.5762925599
8 1.5923566879
21 1.6600265604
28 1.9260400616
31 2.0000000000
141 2.2281639929
929 2.3629489603
972 2.7352297593
1412 2.8868360277
1685 3.5410764873
5208 1.4318442153
evaluations raw_y
1 2.1663778163
80 2.5987525988
108 2.7352297593
1396 2.8868360277
2669 3.1172069825
3754 3.2467532468
5208 2.1968365554
evaluations raw_y
1 1.1150758252
3 1.2690355330
5 1.3007284079
9 1.4863258026
17 1.7531556802
102 2.0259319287
486 2.0798668885
690 3.0562347188
6903 0.8871540099
evaluations raw_y
1 1.2100677638
7 1.3455328310
14 1.9260400616
53 2.1968365554
467 2.4752475248
966 2.8868360277
6903 1.7531556802
evaluations raw_y
1 1.1312217195
2 1.6600265604
23 1.7531556802
29 1.8796992481
87 2.2603978300
373 2.2935779817
1023 2.3277467412
4074 2.3629489603
4554 3.1172069825
6903 1.0917030568
evaluations raw_y
1 0.5679236711
2 1.1071744907
3 1.3691128149
22 2.1079258010
3584 2.1367521368
4736 2.2935779817
6903 0.5294366794
evaluations raw_y
1 0.7692307692
3 1.1737089202
4 1.2007684918
7 1.6600265604
20 1.8355359765
44 1.9025875190
45 2.4752475248
6903 1.1312217195
evaluations raw_y
1 1.0993843448
3 1.1394712853
4 1.3340448239
19 1.5299877601
22 1.8142235123
145 1.8796992481
269 1.9747235387
430 2.1663778163
2757 2.2603978300
4636 2.2935779817
9180 0.6760411033
evaluations raw_y
1 0.7297139521
2 1.6425755585
5 1.7337031900
9 1.7934002869
16 1.9025875190
71 2.0525451560
126 2.8868360277
9180 0.9819324430
evaluations raw_y
1 1.2291052114
2 1.4585764294
4 1.5151515152
6 1.5605493134
16 1.7146776406
58 2.1079258010
580 2.1367521368
605 2.6427061311
7191 2.7839643653
9180 1.0692899914
evaluations raw_y
1 1.0271158587
2 1.5923566879
14 1.8355359765
68 1.8796992481
111 1.9260400616
171 2.0000000000
559 2.1079258010
1223 2.2603978300
1692 2.3992322457
2503 2.8868360277
9180 1.0271158587
evaluations raw_y
1 0.8973438622
2 1.0339123242
3 1.2388503469
6 1.4318442153
21 1.7730496454
78 1.8573551263
383 1.8796992481
1161 2.5150905433
9180 0.7846829881
evaluations raw_y
1 1.6087516088
34 1.6425755585
118 2.0000000000
212 2.4366471735
1070 2.6427061311
2154 2.9411764706
15400 1.0339123242
evaluations raw_y
1 1.0008006405
3 1.8142235123
4 1.8573551263
46 2.1079258010
790 2.2935779817
1690 2.3277467412
7281 2.4366471735
11472 2.5150905433
15400 1.3340448239
evaluations raw_y
1 0.5763024435
2 0.9637625289
3 0.9881422925
5 1.0917030568
8 1.0993843448
9 1.2100677638
14 1.2388503469
17 1.6778523490
40 1.7146776406
94 2.0000000000
3683 2.0259319287
4973 2.2603978300
13319 2.3277467412
15400 1.7531556802
evaluations raw_y
1 1.3572204126
12 1.4060742407
15 1.4188422247
25 1.5006002401
31 1.5151515152
50 1.5451174289
51 1.5923566879
61 1.6960651289
92 1.7337031900
111 2.3992322457
1371 2.6881720430
15400 0.9077705156
evaluations raw_y
1 1.0766580534
3 1.4863258026
9 2.1663778163
3941 2.3992322457
12221 2.4752475248
15400 1.6087516088
evaluations raw_y
1 1.2007684918
4 1.4060742407
19 1.6254876463
20 1.6425755585
48 1.9260400616
448 2.0525451560
3763 2.2603978300
3794 2.3992322457
3797 2.5150905433
3848 2.5562372188
4932 2.8344671202
6686 2.9976019185
7396 2.0525451560
evaluations raw_y
1 1.0204081633
2 1.2690355330
3 1.4060742407
4 2.2603978300
3970 2.5562372188
6824 2.5987525988
7396 1.9260400616
evaluations raw_y
1 0.8175277959
2 1.1394712853
3 1.3455328310
8 1.7146776406
27 1.8796992481
3167 1.9747235387
3743 2.0525451560
3751 2.4366471735
4539 2.5987525988
4593 2.7839643653
6645 2.8868360277
6791 3.0562347188
7396 1.9747235387
evaluations raw_y
1 1.1478420569
2 1.2588116818
8 1.3116474292
13 1.3812154696
15 1.4060742407
30 2.3629489603
3755 2.6881720430
4658 2.8344671202
5762 2.8868360277
6675 3.0562347188
7396 2.3277467412
evaluations raw_y
1 1.5451174289
7 2.3277467412
3827 2.6427061311
3959 2.6881720430
4528 2.8344671202
5956 2.9411764706
7396 1.2291052114
evaluations raw_y
1 1.6960651289
71 1.7934002869
114 1.9025875190
160 2.4752475248
527 2.7352297593
2171 2.8344671202
8873 3.1172069825
10731 1.2388503469
evaluations raw_y
1 1.7337031900
46 1.7531556802
110 2.0259319287
220 2.3992322457
2839 2.6427061311
8142 2.7352297593
10731 1.4188422247
evaluations raw_y
1 0.7886435331
2 1.8796992481
28 1.9747235387
127 2.0798668885
3514 2.3992322457
10731 0.8305647841
evaluations raw_y
1 0.9130752374
2 2.1079258010
3475 2.1968365554
3509 2.3992322457
3589 2.6881720430
10731 0.8261731659
